,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,target
164,0,5,1,3,2,2,2,2,1,0,1,0,0,1,0,2,0,3,0,0,1,1,2,0,2,1,50,50,2,1,Yes
165,0,5,0,0,0,2,1,0,5,0,0,1,0,2,0,0,0,3,0,1,2,1,1,0,0,1,34,33,10,1,No
166,0,5,0,0,1,1,0,2,5,0,0,0,2,0,0,0,0,0,0,1,2,1,1,0,0,0,34,33,5,2,No
167,0,5,0,3,2,1,2,0,0,0,1,1,1,0,0,0,1,0,0,1,2,0,1,0,1,1,49,49,0,1,Maybe
168,1,2,1,3,0,1,1,0,3,0,1,0,2,0,0,2,2,0,1,1,2,0,0,0,2,1,34,33,7,0,Maybe
169,0,5,0,3,0,2,0,0,3,0,1,1,0,0,0,2,1,3,3,0,1,1,1,0,0,1,22,21,8,2,Maybe
170,0,2,1,1,0,1,1,1,3,0,0,2,0,1,0,0,1,3,3,3,2,1,1,0,2,1,22,21,5,1,Maybe
171,0,1,1,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,1,2,1,1,0,0,1,50,50,5,0,No
172,0,4,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3,0,0,1,0,0,1,0,1,50,50,0,0,No
173,0,5,0,3,1,1,2,0,1,0,0,1,0,1,0,1,1,3,3,1,2,0,0,0,1,1,50,50,5,2,Maybe
174,0,4,1,1,0,1,1,1,1,0,0,2,2,1,0,1,1,4,0,0,1,2,2,1,2,1,50,50,5,1,Yes
175,0,2,1,3,0,1,0,2,3,0,0,0,1,0,0,0,1,3,0,1,2,1,1,0,2,1,50,50,5,2,No
176,0,2,1,3,2,1,1,2,2,0,1,1,1,1,0,0,0,3,0,3,1,2,2,1,2,0,50,50,5,2,Yes
177,0,2,1,0,0,1,1,0,3,1,1,0,0,0,0,1,1,0,3,0,1,2,2,1,1,0,50,50,0,0,Yes
178,0,4,1,1,0,2,1,2,3,1,1,2,2,2,0,2,2,0,0,1,2,1,1,0,0,1,49,49,8,2,No
179,0,1,1,3,0,0,0,0,5,1,1,2,2,2,0,2,0,2,2,1,2,2,0,1,2,1,50,50,0,0,Yes
180,0,4,1,1,0,1,2,0,5,1,1,2,2,2,0,0,0,0,1,1,2,0,0,0,0,1,49,49,0,2,No
181,0,1,1,0,0,1,1,0,1,0,0,1,1,2,0,0,0,3,1,1,2,1,1,0,0,1,49,49,3,1,No
182,0,0,1,2,0,2,0,0,5,1,1,2,2,2,0,0,1,3,1,2,2,1,2,1,2,2,34,33,4,2,Maybe
183,0,3,1,1,1,1,1,2,5,1,1,0,2,0,0,1,1,0,1,1,2,2,1,1,2,1,34,33,0,1,No
184,0,2,1,3,2,1,1,2,2,0,1,0,0,2,0,0,0,3,0,3,0,2,2,1,1,1,50,50,5,1,Yes
185,0,0,1,1,1,1,1,1,3,1,1,0,2,1,0,2,0,0,1,1,2,1,1,0,2,1,17,16,0,2,No
186,0,1,1,3,2,2,2,2,3,1,1,2,2,2,0,0,0,1,2,1,2,0,2,1,0,1,50,50,5,2,Yes
187,0,1,1,3,2,0,2,2,2,1,1,2,2,2,0,0,1,0,0,0,1,2,0,1,0,0,50,50,6,1,No
188,0,5,1,3,1,1,0,0,5,1,1,2,2,2,0,0,0,1,0,1,2,1,2,1,1,1,50,50,0,2,Yes
189,0,3,1,3,1,1,0,0,5,0,1,0,0,0,0,2,1,3,3,0,2,1,2,1,0,1,50,50,0,2,Maybe
190,0,3,1,3,0,0,2,0,3,0,1,0,0,2,0,0,0,0,0,1,2,2,2,1,2,1,50,50,0,0,Yes
191,1,2,1,3,0,1,1,0,3,0,1,0,2,0,0,0,0,0,3,0,2,1,0,0,2,1,6,5,0,2,Maybe
192,0,2,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,2,2,1,0,2,1,22,21,0,2,No
193,1,2,1,3,0,1,1,0,3,0,1,0,2,0,0,0,0,0,0,1,2,1,0,1,1,1,49,49,8,2,Maybe
194,0,5,1,3,2,1,1,0,2,0,0,2,2,0,0,0,0,0,0,3,0,1,2,1,1,0,50,50,3,2,Yes
195,0,2,1,1,0,1,1,0,3,0,1,2,2,1,0,2,1,3,0,1,2,0,2,1,0,1,49,49,0,1,Yes
196,0,1,1,0,1,1,1,0,3,0,1,0,0,0,0,0,1,0,2,3,1,2,2,1,0,1,46,45,0,2,Yes
197,1,2,1,3,0,1,1,0,3,0,1,0,2,0,0,2,0,0,1,1,2,2,2,1,0,1,49,49,2,0,Yes
198,0,3,1,3,2,2,2,2,1,0,1,2,0,2,0,2,1,0,0,0,1,2,2,1,0,1,50,50,4,2,No
199,0,5,1,3,2,1,2,0,2,2,0,1,1,1,0,0,1,3,3,1,2,2,2,1,1,1,50,50,0,2,Yes
200,0,1,1,3,2,1,2,2,2,0,1,0,2,2,0,0,1,3,3,0,2,2,2,1,0,0,50,50,11,0,Maybe
201,0,2,1,0,0,1,0,2,5,1,1,2,2,0,0,2,2,1,1,1,2,1,1,0,0,1,49,49,0,0,No
